"source","sourceScope","sourceId","productId","productName","rating","author","authorMeta","authorUrl","date","title","message","verified","location","replyAuthor","replyDate","replyMessage","relevance","sourceUrl"
"stamped","exact_product","163040757","235","Medium Women's Chemo Care Package","5","Noreen N.","","","07/13/2026","Rock the treatment","I have purchased packages for 3 different friends . They raved about them Such a great variety . Rock the treatment is an amazing company. Every person there is so professional , caring and great costumer service. Definitely 5 stars .","true","US","Rock the Treatment","07/15/2026","Noreen, Thank you so much for your kind words and for trusting us to support your friends during such an important time. It means the world to us to know the care we put into every package is felt. We truly appreciate your support and your 5-star review! Blessings","exact_product","https://www.rockthetreatment.com/womens-medium-chemo-basket/"
"stamped","exact_product","162917634","235","Medium Women's Chemo Care Package","5","Mary L.","","","07/11/2026","","Our friend loved this gift box and is using items from within it everyday.","true","US","Rock the Treatment","07/11/2026","Mary Lynn, so happy to hear that your cancer care package brought some relief and support to the recipient. Thank you so much for taking the time to share. Blessings.","exact_product","https://www.rockthetreatment.com/womens-medium-chemo-basket/"
"stamped","exact_product","162427827","235","Medium Women's Chemo Care Package","5","Susan M.","","","06/14/2026","Chemo care package","Friend was delighted with package. From presentation to carefully selected contents to delicious pops Definitely would recommend to anyone who is looking for a way to comfort a family member or friend going through this horrible journey","true","US","Rock the Treatment","06/16/2026","Susan, Thank you so much for your kind words! We&#39;re delighted to hear your friend enjoyed the package, from the presentation to the carefully selected items (and the pops!). Knowing we were able to bring a little comfort during such a difficult journey means everything to us. Thank you for trusting us to support someone you care about. ❤️","exact_product","https://www.rockthetreatment.com/womens-medium-chemo-basket/"
"stamped","exact_product","161217370","235","Medium Women's Chemo Care Package","5","Anita D.","","","04/23/2026","My sister loved the box!","The box really picked up her spirits specially the unique jelly beans! Thank you","true","US","Rock the Treatment","04/24/2026","Anita, We are so glad to hear!! Thank you so much for sharing. Blessings.","exact_product","https://www.rockthetreatment.com/womens-medium-chemo-basket/"
"stamped","exact_product","158623143","235","Medium Women's Chemo Care Package","5","Charles F.","","","03/21/2026","","Excellent quick shipment and delivery. Individuals I have sent these to loved them.","true","US","Rock the Treatment","03/22/2026","Charles, we are so happy to hear! Thank you so much for taking the time to share your thoughts. Blessings.","exact_product","https://www.rockthetreatment.com/womens-medium-chemo-basket/"
"stamped","exact_product","158550713","235","Medium Women's Chemo Care Package","5","Gary R.","","","03/18/2026","They Loved it","Fantastic I will surely order again!","true","US","Rock the Treatment","03/22/2026","Gary, much appreciated!! We hope you do not have a need to order again for a VERY long time. Blessings.","exact_product","https://www.rockthetreatment.com/womens-medium-chemo-basket/"
"stamped","exact_product","157739878","235","Medium Women's Chemo Care Package","5","Kimberly S.","","","02/13/2026","Rick the Treatment Box","I purchased the box for my best friend of 40 years who just started her chemo treatments. She really enjoyed looking through the box and having several items to try to see what works best for her needs. It is such a difficult time so just to see a small smile makes me extremely happy.","true","US","Rock the Treatment","02/15/2026","Kimberly, Thank you so much for your kind words. It means the world to us to know the box brought even a small smile during such a difficult time. We’re honored to be a small part of supporting your friend and grateful for thoughtful friends like you. Blessings.","exact_product","https://www.rockthetreatment.com/womens-medium-chemo-basket/"
"stamped","exact_product","156423483","235","Medium Women's Chemo Care Package","5","Leonel R.","","","12/18/2025","Care Package for Family member Fighting Lung Cancer","I cannot thank this shop enough for their incredible service. I ordered this for my aunt while she is fighting lung cancer, and the shipping was incredibly fast. The product itself is wonderful—she truly loved it and was so thankful for the gesture. It really lifted her spirits when she needed it most. Thank you for helping me bring a smile to her face","true","US","","","","exact_product","https://www.rockthetreatment.com/womens-medium-chemo-basket/"
"stamped","exact_product","155480876","235","Medium Women's Chemo Care Package","2","Christine M.","","","11/18/2025","Cut out the middle man.","The idea is great in theory. I could have saved a lot of money collecting items and shipping this myself. The website glitched on me in two ways. First, it would not let me put the credit card date in because it would not accept the characters, but also would not approve the card without them. Second, although I entered the “ shipped to “ address on the website, they claim I put my billing address in as the shipping address. I clearly remember looking her address up and painstakingly typing it in the website. When I received the box in the mail erroneously, I was surprised that the box was so small for a medium selection. I contacted the company, and their advice to the error and sending it to me was that I pay shipping and send it back to them and then they would send it to the correct address. I told him them not to worry about it that I would send it directly to her because that would be insanity. If I was going to pay for shipping, why would I not just send it to her? This would’ve been less painstaking for me to just have done the shopping to begin with and box it up and send it. For me to ship it with half the shipping charge that they charged me.","true","US","Rock the Treatment","11/19/2025","Christine, Thank you for taking the time to share your experience. I’m truly sorry for the frustration you encountered — that’s never the experience we want for anyone who orders from Rock the Treatment. As you are aware, the shipping label was generated with the address that was entered on your order. We understand how online forms can sometimes feel confusing, and we always do our best to assist when something goes wrong, regardless of the source of the error. When you reached out to us, you requested that we reship the package to the intended recipient. We agreed to take the package back and resend it at no additional cost, even though the address had been entered incorrectly at checkout. You later chose to forward the package directly yourself instead, which we completely understood. We also appreciate your feedback about the website. As mentioned in our immediate response to your issue, our IT team did research the issue and was not able to identify any system errors, nor have other customers reported similar technical problems. Regarding the size of the medium box, our care packages are intentionally curated in a compact, protective shipping box to ensure the items arrive safely and neatly arranged. Again, I’m very sorry your experience didn’t meet your expectations. We value every customer and will continue working to make the ordering and gifting process as seamless and supportive as possible.","exact_product","https://www.rockthetreatment.com/womens-medium-chemo-basket/"
"stamped","exact_product","154562599","235","Medium Women's Chemo Care Package","5","Louise M.","","","11/01/2025","Gift for Daughter-in-law","She lives the items included for her. She thinks it is thoughtful.","true","US","Rock the Treatment","11/04/2025","Louise, We are so happy to hear. Thank you so much for taking the time to share your feedback. Blessings.","exact_product","https://www.rockthetreatment.com/womens-medium-chemo-basket/"
"stamped","exact_product","154459934","235","Medium Women's Chemo Care Package","5","Riley L.","","","10/30/2025","My family member was so touched","It came on time, in great shape, and my sister in law was so touched by the gift. Highly recommend!","true","US","Rock the Treatment","10/31/2025","Riley, We’re thrilled it brightened her day! Everyone deserves to feel cared for during treatment. Thank you for helping spread the love. Many blessings.","exact_product","https://www.rockthetreatment.com/womens-medium-chemo-basket/"
"stamped","exact_product","150139400","235","Medium Women's Chemo Care Package","5","Tammy S.","","","07/30/2025","Happy Recipient","I received a sweet text from my sister in law who is diagosed with cancer recently. As we all know, you know if you get this sweet of a message and for someone to reach out directly to you is a tell tale you have something that made them feel good. I would recommend this company if you want to surprise someone and shower them with items that are different, helpful,and will make your special someone feel amazing and see how thoughtful you are to tailoring the items to the condition they are faced with in a difficult time. I give this company a 5 star review for getting it right, and appreciating I have a great gift box to have made my special persons day!","true","US","Rock the Treatment","08/01/2025","Thank you so much for your kind words and thoughtful review! It means the world to know the gift brought a moment of comfort and connection during such a difficult time. We're truly honored to play even a small part in supporting your sister-in-law’s journey. Blessings 💛","exact_product","https://www.rockthetreatment.com/womens-medium-chemo-basket/"
"stamped","exact_product","143952306","235","Medium Women's Chemo Care Package","5","Lee A.","","","02/12/2025","Excellent","Quality merchandise, excellent choices. Very pleased with my purchase and my friend was happy with her gift.","true","US","Rock the Treatment","02/23/2025","Lee, Thank you so much for the lovely compliments. We appreciate you taking the time to share. Many blessings.","exact_product","https://www.rockthetreatment.com/womens-medium-chemo-basket/"
"stamped","exact_product","141302676","235","Medium Women's Chemo Care Package","5","Margaret M.","","","11/29/2024","Very Appreciative","My sister was very excited to receive this gift. It was all the things she needed but didn’t have to buy! ♥️","true","US","Rock the Treatment","12/02/2024","Margaret, We are thrilled to hear that your sister loved receiving your cancer care package and that it saved her the trouble of having to shop! We hope it brought her some comfort and smiles. Blessings.","exact_product","https://www.rockthetreatment.com/womens-medium-chemo-basket/"
"stamped","exact_product","139763590","235","Medium Women's Chemo Care Package","5","Ronya H.","","","10/24/2024","The Perfect Gift","I was looking for an appropriate gift to give a friend who's going through chemo when I stumbled across this website. I love the great care and consideration that was given into selecting products that would bring comfort. My friend absolutely loved the basket. The throat lozenges were right on time. Everything was packaged nicely. I will definitely order again.","true","US","Rock the Treatment","10/25/2024","Ronya, We are thrilled to hear that your friend LOVED receiving your cancer care gift and that it arrived exactly when she needed it. Thank you so much for taking the time to share your lovely feedback. Blessings.","exact_product","https://www.rockthetreatment.com/womens-medium-chemo-basket/"
"stamped","exact_product","139418919","235","Medium Women's Chemo Care Package","5","Ann T.","","","10/15/2024","Medium Size Basker for a woman","Overall experience was good.","true","US","Rock the Treatment","10/17/2024","Thank you!!","exact_product","https://www.rockthetreatment.com/womens-medium-chemo-basket/"
"stamped","exact_product","137746760","235","Medium Women's Chemo Care Package","5","Meggen S.","","","09/07/2024","Thank you!","My family and I are new to supporting a loved one going through chemo. While many of our anxieties cannot be remedied, Rockthetreatment took away the helplessness we felt on not knowing how to best support our loved one during chemo treatments. The articles and well curated gift baskets were SO helpful. Thank you for your thoughtfulness and support to those still learning to support those going through chemo.","true","US","Rock the Treatment","09/18/2024","Meggen, We are humbled by your kind words. Thank you so much for taking the time to share your thoughts. We are sad that you had the need to send a basket like this but so appreciate you choosing a Rock the Treatment cancer care package for your loved one. Blessings.","exact_product","https://www.rockthetreatment.com/womens-medium-chemo-basket/"
"stamped","exact_product","134559146","235","Medium Women's Chemo Care Package","5","Angela H.","","","06/30/2024","The best Gift","I sent this to a young mom going through Chemo. She absolutely loved it and said it was perfect! I highly recommend this for anyone you know going through Chemo or any kind of treatment.","true","US","Rock the Treatment","07/11/2024","Angela, We are saddened to hear that you had the need to send a cancer care package to a young mother. But it warms our heart to hear that she loved receiving it. I hope she found comfort and smiles from your gift. Thank you for taking the time to share your feedback. Blessings.","exact_product","https://www.rockthetreatment.com/womens-medium-chemo-basket/"
"stamped","exact_product","133707717","235","Medium Women's Chemo Care Package","5","Lisa M.","","","06/19/2024","Best Gift Ever!","Those are the words, my daughter-in-law’s mother used to describe her beautiful gift! She absolutely loved it. Thank you so so much for such thoughtful packaging!","true","US","Rock the Treatment","06/19/2024","AWW ..... Lisa thank you so much for sharing. We are so pleased to hear that your daughters MIL loved receiving your gift and that it brought her some joy and comfort. Blessings.","exact_product","https://www.rockthetreatment.com/womens-medium-chemo-basket/"
"stamped","exact_product","133115210","235","Medium Women's Chemo Care Package","5","Marga F.","","","06/05/2024","Sent to show i care","My sister loved it!","true","US","Rock the Treatment","06/06/2024","SO HAPPY TO HEAR!! Blessings!!","exact_product","https://www.rockthetreatment.com/womens-medium-chemo-basket/"
"stamped","exact_product","131553544","235","Medium Women's Chemo Care Package","5","Diane M.","","","05/04/2024","Brought joy to recipient","The box for chemo was fantastic according to the recipient. She sent pictures which showed it was really great. The best part was she (recipient) was so happy and said it was so well thought out. First time I’ve seen he show joy in a bit. So Thank You!","true","US","Rock the Treatment","05/07/2024","AWWW thank you Diane. That makes us so happy to hear. We hope your gift brings your friend much comfort as well. We appreciate you taking the time to share. Many blessings.","exact_product","https://www.rockthetreatment.com/womens-medium-chemo-basket/"
"stamped","exact_product","131550279","235","Medium Women's Chemo Care Package","5","Noreen N.","","","05/04/2024","Best ever Gift.","My friend was overjoyed with the wonderful gift . She said that she enjoyed the snacks and everything was amazing It really made her day going through all her illness It really will rock her treatment.","true","US","Rock the Treatment","05/07/2024","Noreen...YAY! That makes us so happy. Thank you so miuch for sharingl Many blessings.","exact_product","https://www.rockthetreatment.com/womens-medium-chemo-basket/"
"stamped","exact_product","129200266","235","Medium Women's Chemo Care Package","5","Charolette M.","","","03/27/2024","For a friend","I sent this to a friend and she loved it. Glad your company exists for situations like these","true","US","Rock the Treatment","03/28/2024","Charolette, Thank you!! We appreciate your kind words and taking the time to share them. Blessings.","exact_product","https://www.rockthetreatment.com/womens-medium-chemo-basket/"
"stamped","exact_product","129129226","235","Medium Women's Chemo Care Package","5","Tina D.","","","03/26/2024","Very thoughtful gift","Cancer sucks and I was grateful to find something that caters to patients in such a thoughtful and meaningful way. The owner reached out immediately after my order was placed to wish the recipient well which made me tear up and the package was well received by my friend. I would highly recommend this company.","true","US","Rock the Treatment","03/28/2024","Tina, Thank you so much for the kind words and for taking the time to share them. We are so pleased to hear that your friend appreciated receiving your gift. We hope it brings her some comfort and blessings.","exact_product","https://www.rockthetreatment.com/womens-medium-chemo-basket/"
"stamped","exact_product","126370523","235","Medium Women's Chemo Care Package","5","Mariatu G.","","","02/07/2024","For a loved one!","I’m glad I was able to gift this to a friend! I truly didn’t know what to do for her till I googled gifts loved one who is sick. This was really a great purchase and I’m glad my friend was happy with it. Thank you!","true","US","Rock the Treatment","02/07/2024","Mariatu, Thank you!! We are so happy that you were happy with your decision to purchase one of our chemo care packages for your friend. We hope it brought her some comfort and supports. Much appreciation for sharing your thoughts. Blessings.","exact_product","https://www.rockthetreatment.com/womens-medium-chemo-basket/"
"stamped","exact_product","126336616","235","Medium Women's Chemo Care Package","5","Lisa B.","","","02/06/2024","","This wasn't for me but for a good friend who started chemo. She loves it!! Has already used the peppermint candies and the eye mask.","true","US","Rock the Treatment","02/07/2024","Lisa, We are so happy to hear that your friend loved your gift and started to use the items. Thank you very much for taking the time to share your kind feedback. Blessings.","exact_product","https://www.rockthetreatment.com/womens-medium-chemo-basket/"
"stamped","exact_product","123849030","235","Medium Women's Chemo Care Package","5","Marilyn L.","","","12/22/2023","It was a gift","I sent to a friend who is going through chemo now. She was happy to get the gift, but she has not commented on contents yet.","true","US","Rock the Treatment","12/26/2023","Marilyn, we are happy to hear that your friend enjoyed receiving your gift. Thank you for sharing your feedback. Blessings.","exact_product","https://www.rockthetreatment.com/womens-medium-chemo-basket/"
"stamped","exact_product","123820568","235","Medium Women's Chemo Care Package","5","Susan R.","","","12/21/2023","Pleased","The boxes are very much appreciated by patients of chemo or radiation and used abundantly. I highly recommend this “gift of love” for anyone who has to experience this challenging journey.","true","US","Rock the Treatment","12/26/2023","Susan, We appreciate your very lovely review. We are so pleased that you found our cancer care package to be helpful. Thank you for taking the time to share. Blessings.","exact_product","https://www.rockthetreatment.com/womens-medium-chemo-basket/"
